age,female,from,healthy,mild,severe,death
52,0,death,0,0,0,1
53,0,death,0,0,0,1
54,0,death,0,0,0,1
55,0,death,0,0,0,1
56,0,death,0,0,0,1
57,0,death,0,0,0,1
58,0,death,0,0,0,1
59,0,death,0,0,0,1
60,0,death,0,0,0,1
61,0,death,0,0,0,1
62,0,death,0,0,0,1
63,0,death,0,0,0,1
64,0,death,0,0,0,1
65,0,death,0,0,0,1
66,0,death,0,0,0,1
67,0,death,0,0,0,1
68,0,death,0,0,0,1
69,0,death,0,0,0,1
70,0,death,0,0,0,1
71,0,death,0,0,0,1
72,0,death,0,0,0,1
73,0,death,0,0,0,1
74,0,death,0,0,0,1
75,0,death,0,0,0,1
76,0,death,0,0,0,1
77,0,death,0,0,0,1
78,0,death,0,0,0,1
79,0,death,0,0,0,1
80,0,death,0,0,0,1
81,0,death,0,0,0,1
82,0,death,0,0,0,1
83,0,death,0,0,0,1
84,0,death,0,0,0,1
85,0,death,0,0,0,1
86,0,death,0,0,0,1
87,0,death,0,0,0,1
88,0,death,0,0,0,1
89,0,death,0,0,0,1
90,0,death,0,0,0,1
91,0,death,0,0,0,1
92,0,death,0,0,0,1
93,0,death,0,0,0,1
94,0,death,0,0,0,1
95,0,death,0,0,0,1
96,0,death,0,0,0,1
97,0,death,0,0,0,1
98,0,death,0,0,0,1
99,0,death,0,0,0,1
100,0,death,0,0,0,1
101,0,death,0,0,0,1
102,0,death,0,0,0,1
103,0,death,0,0,0,1
104,0,death,0,0,0,1
105,0,death,0,0,0,1
106,0,death,0,0,0,1
107,0,death,0,0,0,1
108,0,death,0,0,0,1
109,0,death,0,0,0,1
110,0,death,0,0,0,1
111,0,death,0,0,0,1
112,0,death,0,0,0,1
113,0,death,0,0,0,1
114,0,death,0,0,0,1
51,1,death,0,0,0,1
52,1,death,0,0,0,1
53,1,death,0,0,0,1
54,1,death,0,0,0,1
55,1,death,0,0,0,1
56,1,death,0,0,0,1
57,1,death,0,0,0,1
58,1,death,0,0,0,1
59,1,death,0,0,0,1
60,1,death,0,0,0,1
61,1,death,0,0,0,1
62,1,death,0,0,0,1
63,1,death,0,0,0,1
64,1,death,0,0,0,1
65,1,death,0,0,0,1
66,1,death,0,0,0,1
67,1,death,0,0,0,1
68,1,death,0,0,0,1
69,1,death,0,0,0,1
70,1,death,0,0,0,1
71,1,death,0,0,0,1
72,1,death,0,0,0,1
73,1,death,0,0,0,1
74,1,death,0,0,0,1
75,1,death,0,0,0,1
76,1,death,0,0,0,1
77,1,death,0,0,0,1
78,1,death,0,0,0,1
79,1,death,0,0,0,1
80,1,death,0,0,0,1
81,1,death,0,0,0,1
82,1,death,0,0,0,1
83,1,death,0,0,0,1
84,1,death,0,0,0,1
85,1,death,0,0,0,1
86,1,death,0,0,0,1
87,1,death,0,0,0,1
88,1,death,0,0,0,1
89,1,death,0,0,0,1
90,1,death,0,0,0,1
91,1,death,0,0,0,1
92,1,death,0,0,0,1
93,1,death,0,0,0,1
94,1,death,0,0,0,1
95,1,death,0,0,0,1
96,1,death,0,0,0,1
97,1,death,0,0,0,1
98,1,death,0,0,0,1
99,1,death,0,0,0,1
100,1,death,0,0,0,1
101,1,death,0,0,0,1
102,1,death,0,0,0,1
103,1,death,0,0,0,1
104,1,death,0,0,0,1
105,1,death,0,0,0,1
106,1,death,0,0,0,1
107,1,death,0,0,0,1
108,1,death,0,0,0,1
109,1,death,0,0,0,1
110,1,death,0,0,0,1
111,1,death,0,0,0,1
112,1,death,0,0,0,1
113,1,death,0,0,0,1
114,1,death,0,0,0,1
